Simplified,Translation,Traditional,Pinyin
他不顾一切地放弃了安逸的生活。,Anh ta đã từ bỏ cuộc sống an nhàn mà không do dự.,他不顧一切地放棄了安逸的生活。,tā bùgùyīqiè dì fàngqì le ānyì de shēnghuó 。
她不顾一切地选择离开。,Cô ấy đã chọn rời đi mà không do dự.,她不顧一切地選擇離開。,tā bùgùyīqiè dì xuǎnzé líkāi 。
他不顾一切地向敌人发起进攻。,Anh ta đã tấn công kẻ thù mà không do dự.,他不顧一切地向敵人發起進攻。,tā bùgùyīqiè dìxiàng dírén fāqǐ jìngōng 。
她不顾一切地站出来为正义发声。,Cô ấy đã lên tiếng vì công lý mà không do dự.,她不顧一切地站出來爲正義發聲。,tā bùgùyīqiè dìzhàn chūlái wèi zhèngyì fāshēng 。
他不顾一切地保护家人。,Anh ta đã bảo vệ gia đình mà không do dự.,他不顧一切地保護家人。,tā bùgùyīqiè dì bǎohù jiārén 。
她不顾一切地接受了挑战。,Cô ấy đã chấp nhận thách thức mà không do dự.,她不顧一切地接受了挑戰。,tā bùgùyīqiè dì jiēshòu le tiǎozhàn 。
他不顾一切地追求真相。,Anh ta đã theo đuổi sự thật mà không do dự.,他不顧一切地追求真相。,tā bùgùyīqiè dì zhuīqiú zhēnxiàng 。
她不顾一切地面对困难。,Cô ấy đã đối mặt với khó khăn mà không do dự.,她不顧一切地面對困難。,tā bùgùyīqiè dìmiàn duì kùnnán 。
他不顾一切地为理想奋斗。,Anh ta đã đấu tranh vì lý tưởng của mình mà không do dự.,他不顧一切地爲理想奮鬥。,tā bùgùyīqiè dìwèi lǐxiǎng fèndòu 。
她不顾一切地追求自由。,Cô ấy đã theo đuổi tự do mà không do dự.,她不顧一切地追求自由。,tā bùgùyīqiè dì zhuīqiú zìyóu 。
他们东拼西凑才完成了这个项目。,Họ đã hoàn thành dự án này bằng cách ghép nối các mảnh together.,他們東拼西湊才完成了這個項目。,tāmen dōngpīnxīcòu cái wánchéng le zhège xiàngmù 。
她东拼西凑做了一个漂亮的蛋糕。,Cô ấy đã làm một chiếc bánh đẹp bằng cách dán dính các mảnh paper.,她東拼西湊做了一個漂亮的蛋糕。,tā dōngpīnxīcòu zuò le yígè piàoliàng de dàngāo 。
那本书的内容东拼西凑得有点乱。,Nội dung cuốn sách dán dính lộn xộn.,那本書的內容東拼西湊得有點亂。,nàběnshū de nèiróng dōngpīnxīcòu dé yǒudiǎn luàn 。
他们东拼西凑才凑齐了这个乐队。,Họ đã lập đội nhạc này bằng cách ghép nối các thành viên.,他們東拼西湊才湊齊了這個樂隊。,tāmen dōngpīnxīcòu cái còuqí le zhège yuèduì 。
这个花园的花坛东拼西凑得很成功。,Công viên đã thành công trong việc ghép nối các chậu hoa.,這個花園的花壇東拼西湊得很成功。,zhège huāyuán de huātán dōngpīnxīcòu dé hěn chénggōng 。
这个团队东拼西凑地完成了任务。,Đội đã hoàn thành nhiệm vụ bằng cách ghép nối các thành viên.,這個團隊東拼西湊地完成了任務。,zhège tuánduì dōngpīnxīcòu dì wánchéng le rènwù 。
他东拼西凑买了一件新衣服。,Anh ấy đã mua một bộ trang phục mới bằng cách ghép nối các mảnh.,他東拼西湊買了一件新衣服。,tā dōngpīnxīcòu mǎi le yījiàn xīn yīfú 。
他们东拼西凑地组建了这个俱乐部。,Họ đã thành lập câu lạc bộ này bằng cách ghép nối các thành viên.,他們東拼西湊地組建了這個俱樂部。,tāmen dōngpīnxīcòu dì zǔjiàn le zhège jùlèbù 。
她东拼西凑地制作了一个精美的相册。,Cô ấy đã làm một album đẹp bằng cách ghép nối các hình ảnh.,她東拼西湊地製作了一個精美的相冊。,tā dōngpīnxīcòu dì zhìzuò le yígè jīngměi de xiàngcè 。
这个展览的展品东拼西凑地展示出来。,Các tác phẩm của triển lãm đã được trình bày bằng cách ghép nối.,這個展覽的展品東拼西湊地展示出來。,zhège zhǎnlǎn de zhǎnpǐn dōngpīnxīcòu dì zhǎnshì chūlái 。
他们东拼西凑地组建了一支足球队。,Họ đã lập đội bóng đá bằng cách ghép nối các thành viên.,他們東拼西湊地組建了一支足球隊。,tāmen dōngpīnxīcòu dì zǔjiàn le yīzhī zúqiúduì 。
这家餐厅的菜单东拼西凑得很有趣。,Menu của nhà hàng rất thú vị nhờ việc ghép nối.,這家餐廳的菜單東拼西湊得很有趣。,zhèjiā cāntīng de càidān dōngpīnxīcòu dé hěn yǒuqù 。
他东拼西凑地修理好了那辆自行车。,Anh ấy đã sửa xe đạp bằng cách ghép nối các bộ phận.,他東拼西湊地修理好了那輛自行車。,tā dōngpīnxīcòu dì xiūlǐ hǎo le nàliàng zìxíngchē 。
这个演讲的内容东拼西凑得很杂乱。,Nội dung bài diễn văn rất hỗn loạn do việc ghép nối.,這個演講的內容東拼西湊得很雜亂。,zhège yǎnjiǎng de nèiróng dōngpīnxīcòu dé hěn záluàn 。
他们东拼西凑地制作了一部短片。,Họ đã làm một phim ngắn bằng cách ghép nối các hình ảnh.,他們東拼西湊地製作了一部短片。,tāmen dōngpīnxīcòu dì zhìzuò le yībù duǎnpiàn 。
她东拼西凑地制作了一副精美的拼图。,Cô ấy đã làm một bức tranh ghép bằng cách ghép nối các mảnh.,她東拼西湊地製作了一副精美的拼圖。,tā dōngpīnxīcòu dì zhìzuò le yīfù jīngměi de pīntú 。
这个音乐会的表演东拼西凑得很有趣。,Các tiết mục trong buổi hòa nhạc rất thú vị nhờ việc ghép nối.,這個音樂會的表演東拼西湊得很有趣。,zhège yīnyuèhuì de biǎoyǎn dōngpīnxīcòu dé hěn yǒuqù 。
他们东拼西凑地组建了一个乐队。,Họ đã lập đội nhạc bằng cách ghép nối các thành viên.,他們東拼西湊地組建了一個樂隊。,tāmen dōngpīnxīcòu dì zǔjiàn le yígè yuèduì 。
这个展览的展品东拼西凑地陈列出来。,Các tác phẩm của triển lãm đã được trình bày bằng cách ghép nối.,這個展覽的展品東拼西湊地陳列出來。,zhège zhǎnlǎn de zhǎnpǐn dōngpīnxīcòu dì chénliè chūlái 。
他妈妈严厉地批评了他。,Mẹ anh nghiêm khắc chỉ trích anh.,他媽媽嚴厲地批評了他。,tā māmā yánlì dì pīpíng le tā 。
老师严厉地要求学生遵守纪律。,Giáo viên nghiêm khắc yêu cầu học sinh tuân thủ kỷ luật.,老師嚴厲地要求學生遵守紀律。,lǎoshī yánlì dì yāoqiú xuéshēng zūnshǒujìlǜ 。
父亲严厉地警告儿子不要吸烟。,Cha nghiêm khắc cảnh cáo con trai không được hút thuốc.,父親嚴厲地警告兒子不要吸菸。,fùqīn yánlì dì jǐnggào érzi búyào xīyān 。
校长严厉地批评了那些不认真上课的学生。,Hiệu trưởng nghiêm khắc chỉ trích những học sinh không tập trung vào bài học.,校長嚴厲地批評了那些不認真上課的學生。,xiàozhǎng yánlì dì pīpíng le nàxiē bù rènzhēn shàngkè de xuéshēng 。
他被严厉地训斥了。,Anh bị nghiêm khắc giáo huấn.,他被嚴厲地訓斥了。,tā bèi yánlì dì xùnchì le 。
她妈妈对她的要求很严厉。,Mẹ của cô yêu cầu cô rất nghiêm khắc.,她媽媽對她的要求很嚴厲。,tā māmā duì tā de yāoqiú hěn yánlì 。
他因迟到而受到了严厉的处罚。,Anh bị trừng phạt nghiêm khắc vì đến muộn.,他因遲到而受到了嚴厲的處罰。,tā yīn chídào ér shòudào le yánlì de chǔfá 。
妈妈严厉地警告他不要惹麻烦。,Mẹ nghiêm khắc cảnh cáo anh không được gây sự.,媽媽嚴厲地警告他不要惹麻煩。,māmā yánlì dì jǐnggào tā búyào rěmáfán 。
他被严厉地批评了，因为他没有完成作业。,Anh bị nghiêm khắc chỉ trích vì không hoàn thành bài tập.,他被嚴厲地批評了，因爲他沒有完成作業。,tā bèi yánlì dì pīpíng le ， yīnwèi tā méiyǒu wánchéng zuòyè 。
老师严厉地要求学生认真听讲。,Giáo viên nghiêm khắc yêu cầu học sinh tập trung vào bài giảng.,老師嚴厲地要求學生認真聽講。,lǎoshī yánlì dì yāoqiú xuéshēng rènzhēntīngjiǎng 。
他被严厉地惩罚了，因为他破坏了课堂纪律。,Anh bị nghiêm khắc trừng phạt vì vi phạm kỷ luật lớp học.,他被嚴厲地懲罰了，因爲他破壞了課堂紀律。,tā bèi yánlì dì chéngfá le ， yīnwèi tā pòhuài le kètángjìlǜ 。
他妈妈严厉地要求他早点回家。,Mẹ anh nghiêm khắc yêu cầu anh về nhà sớm.,他媽媽嚴厲地要求他早點回家。,tā māmā yánlì dì yāoqiú tā zǎodiǎn huíjiā 。
她被严厉地批评了，因为她没有遵守规则。,Cô bị nghiêm khắc chỉ trích vì không tuân thủ quy tắc.,她被嚴厲地批評了，因爲她沒有遵守規則。,tā bèi yánlì dì pīpíng le ， yīnwèi tā méiyǒu zūnshǒuguīzé 。
老师严厉地警告学生不要在课堂上吃东西。,Giáo viên nghiêm khắc cảnh cáo học sinh không được ăn trong lớp học.,老師嚴厲地警告學生不要在課堂上喫東西。,lǎoshī yánlì dì jǐnggào xuéshēng búyào zài kètáng shàng chī dōngxī 。
他因为不诚实而受到了严厉的惩罚。,Anh bị trừng phạt nghiêm khắc vì không trung thực.,他因爲不誠實而受到了嚴厲的懲罰。,tā yīnwèi bùchéngshí ér shòudào le yánlì de chéngfá 。
妈妈严厉地警告他不要惹怒父亲。,Mẹ nghiêm khắc cảnh cáo anh không được làm cha tức giận.,媽媽嚴厲地警告他不要惹怒父親。,māmā yánlì dì jǐnggào tā búyào rěnù fùqīn 。
他被严厉地批评了，因为他没有完成任务。,Anh bị nghiêm khắc chỉ trích vì không hoàn thành nhiệm vụ.,他被嚴厲地批評了，因爲他沒有完成任務。,tā bèi yánlì dì pīpíng le ， yīnwèi tā méiyǒu wánchéng rènwù 。
父亲严厉地警告他不要沉迷于游戏。,Cha nghiêm khắc cảnh cáo anh không được say mê game.,父親嚴厲地警告他不要沉迷於遊戲。,fùqīn yánlì dì jǐnggào tā búyào chénmíyú yóuxì 。
他因为迟到而受到了严厉的处罚。,Anh bị trừng phạt nghiêm khắc vì đến muộn.,他因爲遲到而受到了嚴厲的處罰。,tā yīnwèi chídào ér shòudào le yánlì de chǔfá 。
为啥今天天气这么热？,Sao hôm nay trời nóng quá?,爲啥今天天氣這麼熱？,wèishá jīntiāntiānqì zhème rè ？
为啥他没来参加聚会？,Sao anh ấy không tham gia bữa tiệc?,爲啥他沒來參加聚會？,wèishá tā méilái cānjiā jùhuì ？
为啥不吃点儿水果呢？,Sao không ăn trái cây nào?,爲啥不喫點兒水果呢？,wèishá bùchī diǎnér shuǐguǒ ne ？
为啥这只猫那么懒？,Sao con mèo này lại lười biếng vậy?,爲啥這隻貓那麼懶？,wèishá zhè zhǐ māo nàme lǎn ？
为啥那个项目进度那么慢？,Sao dự án đó tiến độ chậm quá?,爲啥那個項目進度那麼慢？,wèishá nàge xiàngmù jìndù nàme màn ？
为啥我不喜欢这道菜？,Sao tôi lại không thích món ăn này?,爲啥我不喜歡這道菜？,wèishá wǒ bù xǐhuān zhè dàocài ？
为啥这个周末不去郊游？,Sao không đi dã ngoại vào tuần này?,爲啥這個週末不去郊遊？,wèishá zhège zhōumò bùqù jiāoyóu ？
为啥不早点儿睡觉呢？,Sao không đi ngủ sớm hơn?,爲啥不早點兒睡覺呢？,wèishá bù zǎodiǎnér shuìjiào ne ？
为啥他们要取消这个活动？,Sao họ lại hủy bỏ hoạt động đó?,爲啥他們要取消這個活動？,wèishá tāmen yào qǔxiāo zhège huódòng ？
为啥我不敢尝试这项运动？,Sao tôi lại không dám thử vận động này?,爲啥我不敢嘗試這項運動？,wèishá wǒ bùgǎn chángshì zhèxiàng yùndòng ？
为啥这道题那么难？,Sao câu hỏi này lại khó quá?,爲啥這道題那麼難？,wèishá zhèdàotí nàme nán ？
为啥他们关系那么好？,Sao họ lại thân thiết vậy?,爲啥他們關係那麼好？,wèishá tāmen guānxì nàme hǎo ？
为啥我不喜欢吃辣的食物？,Sao tôi lại không thích ăn đồ cay?,爲啥我不喜歡喫辣的食物？,wèishá wǒ bù xǐhuān chī là de shíwù ？
为啥不去看看那部电影？,Sao không đi xem bộ phim đó?,爲啥不去看看那部電影？,wèishá bùqù kànkàn nà bù diànyǐng ？
为啥不买点儿礼物送朋友？,Sao không mua một chút quà tặng bạn?,爲啥不買點兒禮物送朋友？,wèishá bù mǎidiǎnér lǐwù sòng péngyǒu ？
为啥不早点儿起床呢？,Sao không dậy sớm hơn?,爲啥不早點兒起牀呢？,wèishá bù zǎodiǎnér qǐchuáng ne ？
为啥不和他们一起去旅游？,Sao không đi du lịch cùng họ?,爲啥不和他們一起去旅遊？,wèishá bù hé tāmen yìqǐ qù lǚyóu ？
为啥我不喜欢吃甜食？,Sao tôi lại không thích ăn đồ ngọt?,爲啥我不喜歡喫甜食？,wèishá wǒ bù xǐhuān chī tiánshí ？
为啥他总是迟到？,Sao anh ấy luôn trễ hẹn?,爲啥他總是遲到？,wèishá tā zǒngshì chídào ？
为啥不早点儿准备明天的工作？,Sao không chuẩn bị công việc ngày mai sớm hơn?,爲啥不早點兒準備明天的工作？,wèishá bù zǎodiǎnér zhǔnbèi míngtiān de gōngzuò ？
为啥不和家人一起去散步？,Sao không đi dạo cùng gia đình?,爲啥不和家人一起去散步？,wèishá bù hé jiārén yìqǐ qù sànbù ？
会议将在下周举行。,Hội nghị sẽ được tổ chức vào tuần sau.,會議將在下週舉行。,huìyì jiāng zài xiàzhōu jǔxíng 。
学校即将举行运动会。,Trường học sắp tổ chức hội thi vận động.,學校即將舉行運動會。,xuéxiào jíjiāng jǔxíng yùndònghuì 。
他们决定在周末举行野餐。,Họ quyết định tổ chức một picnic vào cuối tuần.,他們決定在週末舉行野餐。,tāmen juédìng zài zhōumò jǔxíng yěcān 。
公司年度总结大会将举行。,Đại hội tổng kết năm của công ty sẽ được tổ chức.,公司年度總結大會將舉行。,gōngsī niándù zǒngjié dàhuì jiāng jǔxíng 。
艺术家将在画廊举行个人画展。,Nghệ sĩ sẽ tổ chức triển lãm cá nhân tại galleria.,藝術家將在畫廊舉行個人畫展。,yìshùjiā jiāng zài huàláng jǔxíng gèrén huàzhǎn 。
研讨会将于本月举行。,Hội thảo sẽ được tổ chức vào tháng này.,研討會將於本月舉行。,yántǎohuì jiāng yú běnyuè jǔxíng 。
运动会将在公园举行。,Hội thi vận động sẽ được tổ chức tại công viên.,運動會將在公園舉行。,yùndònghuì jiāng zài gōngyuán jǔxíng 。
